8433;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\const_string\detail\storage.hpp;Analyze;"unowned"
7138;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\filesystem\v3\path_traits.hpp;Analyze;"unowned"
8599;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\function\function_base.hpp;Analyze;"unowned"
7057;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\graph\detail\adjacency_list.hpp;Analyze;"unowned"
7403;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\graph\detail\adjacency_list.hpp;Analyze;"unowned"
8019;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\graph\detail\adjacency_list.hpp;Analyze;"unowned"
8835;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\graph\detail\adjacency_list.hpp;Analyze;"unowned"
6617;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\graph\detail\edge.hpp;Analyze;"unowned"
7750;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\graph\detail\edge.hpp;Analyze;"unowned"
7669;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\interprocess\detail\tmp_dir_helpers.hpp;Analyze;"unowned"
6158;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\interprocess\detail\win32_api.hpp;Analyze;"unowned"
8177;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\interprocess\detail\win32_api.hpp;Analyze;"unowned"
9202;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\interprocess\detail\win32_api.hpp;Analyze;"unowned"
9527;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\interprocess\detail\win32_api.hpp;Analyze;"unowned"
6800;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\interprocess\shared_memory_object.hpp;Analyze;"unowned"
8845;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\multi_array.hpp;Analyze;"unowned"
6520;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\multi_index\detail\index_matcher.hpp;Analyze;"unowned"
7006;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\multi_index\detail\index_matcher.hpp;Analyze;"unowned"
7716;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\multi_index\detail\index_matcher.hpp;Analyze;"unowned"
9498;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\multi_index\detail\index_matcher.hpp;Analyze;"unowned"
5063;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\property_tree\detail\ptree_implementation.hpp;Analyze;"unowned"
5134;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\random\detail\pass_through_engine.hpp;Analyze;"unowned"
5653;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\range\iterator_range_core.hpp;Analyze;"unowned"
6118;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\range\iterator_range_core.hpp;Analyze;"unowned"
6469;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\range\iterator_range_core.hpp;Analyze;"unowned"
7777;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\range\iterator_range_core.hpp;Analyze;"unowned"
8300;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\range\iterator_range_core.hpp;Analyze;"unowned"
8934;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\range\iterator_range_core.hpp;Analyze;"unowned"
5914;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex_creator.hpp;Analyze;"unowned"
7970;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex_creator.hpp;Analyze;"unowned"
5381;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
6039;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
6363;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
6529;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
6626;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
6708;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
6921;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
7070;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
7196;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
7335;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
7396;C:\jenkins-devops\workspace\kw_bll_ui\common\lib\boost_1_46_1\boost\regex\v4\basic_regex.hpp;Analyze;"unowned"
